genepairs,label,Query_single_mutant_fitness_(SMF),Array_SMF,Double_mutant_fitness
cox9_ade1,0,0.769,1.0050000000000001,0.7624000000000001
cox9_ade8,0,0.769,1.0593000000000001,0.7683
cox9_fab1,0,0.769,0.979,0.7546
cox9_ade6,0,0.769,1.0137,0.8665
cox9_ynk1,0,0.769,1.0157,0.7772
cox9_sac1,0,0.769,0.514,0.3302
cox9_ade16,0,0.769,1.0097,0.7411
cox9_cox8,1,0.769,0.9908,0.7245
cox9_ade17,0,0.769,1.0050000000000001,0.7713
cox9_cox7,1,0.769,0.742,0.5548000000000001
cox9_ade4,0,0.769,1.0368,0.7817000000000001
cox9_cox5a,1,0.769,0.9410000000000001,0.7572
cox9_ade2,0,0.769,0.98,0.7915000000000001
nde2_ade1,0,1.0070000000000001,1.0050000000000001,0.9938
nde2_fab1,0,1.0070000000000001,0.979,0.9695
nde2_ade6,0,1.0070000000000001,1.0137,1.0549
nde2_ynk1,0,1.0070000000000001,1.0157,1.0402
nde2_sdh1,1,1.0070000000000001,0.9647,0.9777
nde2_sac1,0,1.0070000000000001,0.514,0.5545
nde2_sdh2,1,1.0070000000000001,0.9805,0.9853000000000001
nde2_ade16,0,1.0070000000000001,1.0097,1.0425
nde2_cox12,1,1.0070000000000001,0.772,0.7788
nde2_cox8,1,1.0070000000000001,0.9908,0.9396
nde2_ade17,0,1.0070000000000001,1.0050000000000001,0.9884000000000001
nde2_cox7,1,1.0070000000000001,0.742,0.7031000000000001
nde2_ade4,0,1.0070000000000001,1.0368,1.0696
nde2_cox5a,1,1.0070000000000001,0.9410000000000001,0.9658
nde2_ade2,0,1.0070000000000001,0.98,0.9713
sdh4_ade1,0,0.989,1.0050000000000001,0.9871000000000001
sdh4_ade8,0,0.989,1.0593000000000001,1.0209000000000001
sdh4_fab1,0,0.989,0.979,0.9684
sdh4_ade6,0,0.989,1.0137,1.0253
sdh4_ynk1,0,0.989,1.0157,1.024
sdh4_sdh1,1,0.989,0.9647,0.9907
sdh4_sac1,0,0.989,0.514,0.3714
sdh4_sdh2,1,0.989,0.9805,1.0148000000000001
sdh4_ade16,0,0.989,1.0097,0.9719000000000001
sdh4_cox12,1,0.989,0.772,0.6919000000000001
sdh4_cox8,1,0.989,0.9908,0.9822000000000001
sdh4_ade17,0,0.989,1.0050000000000001,1.0014
sdh4_cox7,1,0.989,0.742,0.7271000000000001
sdh4_ade4,0,0.989,1.0368,1.072
sdh4_cox5a,1,0.989,0.9410000000000001,0.9542
sdh4_ade2,0,0.989,0.98,0.9512
ade8_ade1,1,1.0593000000000001,1.0050000000000001,1.1702000000000001
ade8_ade6,1,1.0593000000000001,1.0137,1.0496
ade8_ynk1,1,1.0593000000000001,1.0157,1.0386
ade8_ade16,1,1.0593000000000001,1.0097,0.8348
ade8_ade17,1,1.0593000000000001,1.0050000000000001,1.061
ade8_ade2,1,1.0593000000000001,0.98,1.0681
qcr7_ade1,0,0.7455,1.0050000000000001,0.7634000000000001
qcr7_nde2,1,0.7455,1.0070000000000001,0.7983
qcr7_fab1,0,0.7455,0.979,0.7384000000000001
qcr7_qcr6,1,0.7455,0.9748,0.774
qcr7_ade6,0,0.7455,1.0137,0.7589
qcr7_ynk1,0,0.7455,1.0157,0.7268
qcr7_sdh1,1,0.7455,0.9647,0.7218
qcr7_sac1,0,0.7455,0.514,0.27030000000000004
qcr7_sdh2,1,0.7455,0.9805,0.7067
qcr7_ade16,0,0.7455,1.0097,0.7385
qcr7_cox12,1,0.7455,0.772,0.5748
qcr7_cox8,1,0.7455,0.9908,0.6825
qcr7_ndi1,1,0.7455,1.0457,0.7719
qcr7_ade17,0,0.7455,1.0050000000000001,0.7189
qcr7_nde1,1,0.7455,0.9905,0.7275
qcr7_cox7,1,0.7455,0.742,0.5899
qcr7_ade4,0,0.7455,1.0368,0.7008
qcr7_cox5a,1,0.7455,0.9410000000000001,0.7376
qcr7_cyt1,1,0.7455,0.7435,0.5832
qcr7_ade2,0,0.7455,0.98,0.709
qcr7_qcr2,1,0.7455,0.751,0.5274
cox4_ade1,0,0.756,1.0050000000000001,0.7814
cox4_ade8,0,0.756,1.0593000000000001,0.8003
cox4_ade6,0,0.756,1.0137,0.7554000000000001
cox4_ynk1,0,0.756,1.0157,0.7419
cox4_sac1,0,0.756,0.514,0.3915
cox4_ade16,0,0.756,1.0097,0.7574000000000001
cox4_ade17,0,0.756,1.0050000000000001,0.7949
cox4_ade4,0,0.756,1.0368,0.7562
cox4_ade2,0,0.756,0.98,0.7708
cox13_ade1,0,0.9355,1.0050000000000001,0.9586
cox13_ade8,0,0.9355,1.0593000000000001,1.0069000000000001
cox13_ade6,0,0.9355,1.0137,0.9733
cox13_ynk1,0,0.9355,1.0157,0.9485
cox13_sac1,0,0.9355,0.514,0.426
cox13_ade16,0,0.9355,1.0097,0.8572000000000001
cox13_cox12,1,0.9355,0.772,0.7979
cox13_cox8,1,0.9355,0.9908,0.8757
cox13_ade17,0,0.9355,1.0050000000000001,0.9314
cox13_cox7,1,0.9355,0.742,0.7513000000000001
cox13_ade4,0,0.9355,1.0368,0.9936
cox13_cox5a,1,0.9355,0.9410000000000001,0.8189000000000001
cox13_ade2,0,0.9355,0.98,0.9293
ade6_ade1,1,1.0137,1.0050000000000001,1.0494
ade6_ynk1,1,1.0137,1.0157,1.0526
ade6_ade16,1,1.0137,1.0097,1.0247
ade6_ade17,1,1.0137,1.0050000000000001,1.0407
ade6_ade2,1,1.0137,0.98,0.9548000000000001
rnr4_ynk1,1,0.745,1.0157,0.7877000000000001
qcr9_ade1,0,0.8243,1.0050000000000001,0.8502000000000001
qcr9_nde2,1,0.8243,1.0070000000000001,0.7985
qcr9_sdh4,1,0.8243,0.989,0.8564
qcr9_ade8,0,0.8243,1.0593000000000001,0.8614
qcr9_fab1,0,0.8243,0.979,0.781
qcr9_qcr6,1,0.8243,0.9748,0.7695000000000001
qcr9_ynk1,0,0.8243,1.0157,0.8082
qcr9_sdh1,1,0.8243,0.9647,0.7916000000000001
qcr9_sac1,0,0.8243,0.514,0.4642
qcr9_sdh2,1,0.8243,0.9805,0.793
qcr9_ade16,0,0.8243,1.0097,0.787
qcr9_cox12,1,0.8243,0.772,0.6679
qcr9_cox8,1,0.8243,0.9908,0.7929
qcr9_ndi1,1,0.8243,1.0457,0.9022
qcr9_ade17,0,0.8243,1.0050000000000001,0.8679
