All-Genes	Pathways of gene
15S_RRNA	
21S_RRNA	
AAC1	
AAC3	
AAD10	
AAD14	
AAD15	
AAD3	
AAD4	
AAH1	adenine and adenosine salvage IV // purine ribonucleosides degradation
AAP1	
AAR2	
AAT1	aspartate biosynthesis // malate/L-aspartate shuttle pathway
AAT2	aspartate biosynthesis // malate/L-aspartate shuttle pathway // L-methionine degradation III // methionine salvage pathway
ABD1	mRNA capping I
ABF1	
ABF2	
ABM1	
ABP1	
ABP140	
ABZ1	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // p-aminobenzoate biosynthesis // 4-aminobenzoate biosynthesis
ABZ2	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // p-aminobenzoate biosynthesis // 4-aminobenzoate biosynthesis
ACA1	
ACB1	
ACC1	biotin-carboxyl carrier protein assembly // fatty acid biosynthesis initiation (animals and fungi, cytoplasm) // fatty acid biosynthesis initiation (mitochondria)
ACE2	
ACF2	
ACF4	
ACH1	
ACK1	
ACL4	
ACM1	
ACO1	glyoxylate cycle // TCA cycle II (plants and fungi)
ACO2	glyoxylate cycle // TCA cycle II (plants and fungi)
ACP1	
ACS1	ethanol degradation II // acetate conversion to acetyl-CoA // chitin deacetylation
ACS2	ethanol degradation II // acetate conversion to acetyl-CoA // chitin deacetylation
ACT1	
ADA2	
ADD37	
ADD66	
ADE1	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // inosine-5'-phosphate biosynthesis II
ADE12	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis
ADE13	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // inosine-5'-phosphate biosynthesis II
ADE16	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // inosine-5'-phosphate biosynthesis II
ADE17	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // inosine-5'-phosphate biosynthesis II
ADE2	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // inosine-5'-phosphate biosynthesis II
ADE3	superpathway of tetrahydrofolate biosynthesis and salvage // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // folate interconversions // folate polyglutamylation // formate assimilation into 5,10-methylenetetrahydrofolate // folate transformations I
ADE4	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis I // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
ADE5,7	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis I
ADE6	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis I
ADE8	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // 5-aminoimidazole ribonucleotide biosynthesis I
ADF1	
ADH1	L-methionine degradation III // tyrosine degradation // pyruvate fermentation to ethanol II // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // leucine degradation // leucine degradation III // isoleucine degradation II
ADH2	L-methionine degradation III // tyrosine degradation // ethanol degradation II // pyruvate fermentation to ethanol II // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // leucine degradation // leucine degradation III // isoleucine degradation II
ADH3	L-methionine degradation III // tyrosine degradation // pyruvate fermentation to ethanol II // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // leucine degradation // leucine degradation III // isoleucine degradation II
ADH4	L-methionine degradation III // ethanol degradation II // pyruvate fermentation to ethanol II // tyrosine degradation // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // leucine degradation // leucine degradation III // isoleucine degradation II
ADH5	L-methionine degradation III // pyruvate fermentation to ethanol II // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // leucine degradation // leucine degradation III // isoleucine degradation II // tyrosine degradation
ADH6	D-xylose degradation II
ADH7	
ADI1	methionine salvage pathway
ADK1	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine ribonucleotides <i>de novo</i> biosynthesis
ADK2	
ADO1	adenine and adenosine salvage VI
ADP1	
ADR1	
ADY2	
ADY3	
ADY4	
AEP1	
AEP2	
AEP3	
AFB1	
AFG1	
AFG2	
AFG3	
AFI1	
AFR1	
AFT1	
AFT2	
AGA1	
AGA2	
AGC1	
AGE1	
AGE2	
AGP1	
AGP2	
AGP3	
AGX1	glycine biosynthesis from glyoxylate
AHA1	
AHC1	
AHC2	
AHK1	
AHP1	
AHT1	
AI1	
AI2	
AI3	
AI4	
AI5_ALPHA	
AI5_BETA	
AIF1	
AIM10	tRNA charging
AIM11	
AIM14	
AIM17	
AIM18	
AIM19	
AIM2	
AIM20	
AIM21	
AIM22	lipoate salvage I // lipoate biosynthesis and incorporation IV (yeast)
AIM23	
AIM24	
AIM25	
AIM26	
AIM29	
AIM3	
AIM32	
AIM33	
AIM34	
AIM36	
AIM39	
AIM4	
AIM41	
AIM44	
AIM45	
AIM46	
AIM6	
AIM7	
AIM9	
AIP1	
AIR1	
AIR2	
AKL1	
AKR1	
AKR2	
ALA1	tRNA charging
ALB1	
ALD2	&beta;-alanine biosynthesis // L-phenylalanine degradation II (anaerobic) // methylglyoxal degradation V // sphingolipid recycling and degradation (yeast) // ethylene glycol degradation // methylglyoxal degradation VII // superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
ALD3	&beta;-alanine biosynthesis // L-phenylalanine degradation II (anaerobic) // methylglyoxal degradation V // sphingolipid recycling and degradation (yeast) // ethylene glycol degradation // methylglyoxal degradation VII // superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
ALD4	pyruvate fermentation to acetate VIII // L-phenylalanine degradation II (anaerobic) // methylglyoxal degradation V // ethanol degradation II // sphingolipid recycling and degradation (yeast) // ethylene glycol degradation // methylglyoxal degradation VII // superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
ALD5	pyruvate fermentation to acetate VIII // L-phenylalanine degradation II (anaerobic) // methylglyoxal degradation V // ethanol degradation II // sphingolipid recycling and degradation (yeast) // ethylene glycol degradation // methylglyoxal degradation VII // superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
ALD6	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast) // pyruvate fermentation to acetate VIII // superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
ALE1	phospholipid remodeling (phosphatidylethanolamine) // phospholipid remodeling (phosphatidylcholine) // superpathway phosphatidate biosynthesis (yeast) // phospholipid remodeling (phosphatidate)
ALF1	
ALG1	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG11	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG12	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG13	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG14	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG2	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG3	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG5	dolichyl glucosyl phosphate biosynthesis // protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG6	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG7	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG8	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALG9	protein <i>N</i>-glycosylation (eukaryotic) initial steps
ALK1	
ALK2	
ALO1	dehydro-D-arabinono-1,4-lactone biosynthesis
ALP1	
ALR1	
ALR2	
ALT1	alanine degradation III // L-alanine biosynthesis II
ALT2	alanine degradation III // L-alanine biosynthesis II
ALY1	
ALY2	
AMA1	protein ubiquitination
AMD1	
AMD2	NAD salvage pathway V (PNC V cycle)
AME1	
AMF1	
AMN1	
AMS1	
ANB1	
ANP1	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
ANR2	
ANS1	
ANT1	
ANY1	
AOS1	protein ubiquitination
APA1	
APA2	
APC1	protein ubiquitination
APC11	protein ubiquitination
APC2	protein ubiquitination
APC4	protein ubiquitination
APC5	protein ubiquitination
APC9	protein ubiquitination
APD1	
APE1	
APE2	
APE3	
APE4	
API2	
APJ1	
APL1	
APL2	
APL3	
APL4	
APL5	
APL6	
APM1	
APM2	
APM3	
APM4	
APN1	
APN2	
APP1	triacylglycerol biosynthesis
APQ12	
APS1	
APS2	
APS3	
APT1	adenine and adenosine salvage IV
APT2	adenine and adenosine salvage IV
AQR1	
AQY1	
AQY2	
AQY3	
ARA1	
ARA2	dehydro-D-arabinono-1,4-lactone biosynthesis
ARB1	
ARC1	
ARC15	
ARC18	
ARC19	
ARC35	
ARC40	
ARD1	Ac/N-end rule pathway
ARE1	sterol:steryl ester interconversion
ARE2	sterol:steryl ester interconversion
ARF1	
ARF2	
ARF3	
ARG1	arginine biosynthesis // urea cycle
ARG2	arginine biosynthesis
ARG3	arginine biosynthesis // urea cycle
ARG4	arginine biosynthesis // urea cycle
ARG5,6	arginine biosynthesis
ARG7	arginine biosynthesis
ARG8	arginine biosynthesis
ARG80	
ARG81	
ARG82	inositol phosphate biosynthesis // D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)
ARH1	
ARI1	
ARK1	
ARL1	
ARL3	
ARN1	
ARN2	
ARO1	3-dehydroquinate biosynthesis I // chorismate biosynthesis // chorismate biosynthesis from 3-dehydroquinate
ARO10	L-methionine degradation III // tryptophan degradation VIII (to tryptophol) // L-phenylalanine degradation II (anaerobic) // L-phenylalanine degradation III // isoleucine degradation II
ARO2	chorismate biosynthesis // chorismate biosynthesis from 3-dehydroquinate
ARO3	chorismate biosynthesis // 3-dehydroquinate biosynthesis I
ARO4	chorismate biosynthesis // 3-dehydroquinate biosynthesis I
ARO7	L-phenylalanine biosynthesis I // tyrosine biosynthesis
ARO8	L-lysine biosynthesis IV // tyrosine degradation // 4-hydroxyphenylpyruvate biosynthesis // 4-hydroxybenzoate biosynthesis I (eukaryotes) // tyrosine biosynthesis // L-methionine degradation III // tryptophan degradation VIII (to tryptophol) // L-phenylalanine biosynthesis I // L-phenylalanine degradation II (anaerobic) // L-phenylalanine degradation III
ARO80	
ARO9	tyrosine degradation // L-methionine degradation III // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol)
ARP1	
ARP10	
ARP2	
ARP3	
ARP4	
ARP5	
ARP6	
ARP7	
ARP8	
ARP9	
ARR1	
ARR2	arsenic detoxification (yeast) // arsenate detoxification
ARR3	arsenic detoxification (yeast) // arsenate detoxification
ART10	
ART5	
ARV1	
ARX1	
ASA1	
ASC1	
ASE1	
ASF1	
ASF2	
ASG1	
ASG7	
ASH1	
ASI1	
ASI2	
ASI3	
ASK1	
ASK10	
ASM4	
ASN1	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis I
ASN2	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis I
ASP1	asparagine degradation
ASP3-1	asparagine degradation
ASP3-2	asparagine degradation
ASP3-3	asparagine degradation
ASP3-4	asparagine degradation
ASR1	
AST1	
AST2	
ATC1	
ATE1	
ATF1	acyl-CoA hydrolysis
ATF2	
ATG1	
ATG10	
ATG11	
ATG12	
ATG13	
ATG14	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
ATG15	
ATG16	
ATG17	
ATG18	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
ATG19	
ATG2	
ATG20	
ATG21	
ATG22	
ATG23	
ATG26	
ATG27	
ATG29	
ATG3	
ATG31	
ATG32	
ATG33	
ATG34	
ATG36	
ATG38	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
ATG39	
ATG4	
ATG40	
ATG41	
ATG42	glutathione-mediated detoxification II
ATG5	
ATG7	
ATG8	
ATG9	
ATH1	trehalose degradation VI (periplasmic)
ATM1	
ATO2	
ATO3	
ATP1	
ATP10	
ATP11	
ATP12	
ATP14	
ATP15	
ATP16	
ATP17	
ATP18	
ATP19	
ATP2	
ATP20	
ATP22	
ATP23	
ATP25	
ATP3	
ATP4	
ATP5	
ATP6	
ATP7	
ATP8	
ATR1	
ATR2	
ATS1	
ATX1	
ATX2	
AUA1	
AUR1	sphingolipid biosynthesis (yeast)
AUS1	
AVL9	
AVO1	
AVO2	
AVT1	
AVT2	
AVT3	
AVT4	
AVT5	
AVT6	
AVT7	
AXL1	
AXL2	
AYR1	phosphatidate biosynthesis I (the dihydroxyacetone pathway) // superpathway phosphatidate biosynthesis (yeast)
AYT1	
AZF1	
AZR1	
BAG7	
BAP2	
BAP3	
BAR1	
BAS1	
BAT1	isoleucine degradation II // L-isoleucine biosynthesis I (from threonine) // leucine degradation // L-leucine biosynthesis // leucine degradation III // superpathway of branched chain amino acid biosynthesis // L-valine biosynthesis // valine degradation
BAT2	isoleucine degradation II // L-isoleucine biosynthesis I (from threonine) // leucine degradation // L-leucine biosynthesis // leucine degradation III // superpathway of branched chain amino acid biosynthesis // L-valine biosynthesis // valine degradation
BBC1	
BBP1	
BCD1	
BCH1	chitin biosynthesis
BCH2	chitin biosynthesis
BCK1	
BCK2	
BCP1	
BCS1	
BCY1	
BDF1	
BDF2	
BDH1	<i>meso</i>-butanediol biosynthesis II // (R,R)-butanediol degradation // (<i>R,R</i>)-butanediol biosynthesis // pyruvate fermentation to (<i>R</i>)-acetoin I
BDH2	
BDP1	
BDS1	
BEM1	
BEM2	
BEM3	
BEM4	
BER1	
BET1	
BET2	
BET3	
BET4	
BET5	
BFA1	
BFR1	
BFR2	
BGL2	
BI2	
BI3	
BI4	
BIG1	
BIK1	
BIL1	
BIM1	
BIO2	biotin biosynthesis from 8-amino-7-oxononanoate I
BIO3	biotin biosynthesis from 8-amino-7-oxononanoate I
BIO4	biotin biosynthesis from 8-amino-7-oxononanoate I
BIO5	
BIR1	
BIT2	
BIT61	
BLI1	
BLM10	
BLS1	
BMH1	
BMH2	
BMS1	
BMT2	
BMT5	
BMT6	
BNA1	NAD <i>de novo</i> biosynthesis II (from tryptophan) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
BNA2	NAD <i>de novo</i> biosynthesis II (from tryptophan) // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
